الاسم,الرقم,سنة البداية,سنة النهاية,العصر,المساهمات,البدع المحاربة
"متى الثاني",94,1631,1646,"العصر العثماني","تقوية الروابط بين الأقباط","الخلقيدونية"
"مرقس السابع",95,1660,1675,"العصر العثماني","الحفاظ على استقرار الكنيسة","الخلقيدونية"
"يوحنا الخامس عشر",96,1676,1718,"العصر العثماني المتأخر","تطوير العلاقات مع الكنائس الأخرى","الخلقيدونية"
"بطرس السادس",97,1718,1726,"العصر العثماني المتأخر","الحفاظ على التراث القبطي","الخلقيدونية"
"يوحنا السادس عشر",98,1726,1745,"العصر العثماني المتأخر","تقوية الكنيسة وتطوير طقوسها","الخلقيدونية"
"مرقس الثامن",99,1746,1769,"العصر العثماني المتأخر","مواجهة التحديات السياسية والاجتماعية","الخلقيدونية"
"يوحنا السابع عشر",100,1770,1796,"العصر العثماني المتأخر","الحفاظ على الكنيسة خلال الحملة الفرنسية","الخلقيدونية"
"مرقس التاسع",101,1796,1809,"العصر الحديث المبكر","التكيف مع التغيرات السياسية الجديدة","الخلقيدونية"
"بطرس السابع (الجاولي)",102,1809,1852,"عصر محمد علي","تحديث الكنيسة وتطوير التعليم المسيحي","الخلقيدونية"
"كيرلس الرابع (أبو الإصلاح)",103,1854,1861,"عصر التحديث","إصلاح شامل للكنيسة وتأسيس التعليم الحديث","الخلقيدونية"
"ديميتريوس الثاني",104,1862,1870,"عصر التحديث","استكمال مسيرة الإصلاح والتحديث","الخلقيدونية"
"كيرلس الخامس",105,1874,1927,"العصر الحديث","تقوية الكنيسة وتوسيع نشاطها الاجتماعي","الخلقيدونية; البروتستانتية"
"يوحنا التاسع عشر",106,1928,1942,"العصر الحديث","قيادة الكنيسة خلال الحربين العالميتين","الخلقيدونية; البروتستانتية"
"مكاريوس الثالث",107,1944,1945,"العصر الحديث","الحفاظ على استقرار الكنيسة","الخلقيدونية; البروتستانتية"
"يوساب الثاني",108,1946,1956,"العصر الحديث","تطوير الكنيسة وتحديث أنظمتها","الخلقيدونية; البروتستانتية"
"كيرلس السادس",109,1959,1971,"العصر الحديث","إحياء الرهبنة القبطية والحياة الروحية","الخلقيدونية; البروتستانتية"
"شنودة الثالث",110,1971,2012,"العصر المعاصر","تطوير التعليم اللاهوتي وانتشار الكنيسة عالمياً","الخلقيدونية; البروتستانتية; العلمانية"
"بطرس الثامن",111,1340,1348,"العصر المملوكي","الحفاظ على الكنيسة خلال الأوبئة والمجاعات","الخلقيدونية"
"متى الثالث",112,1378,1408,"العصر المملوكي المتأخر","تقوية الروابط مع الكنائس الشرقية","الخلقيدونية"
"غبريال الثامن (جبرائيل الثامن)",113,1586,1601,"العصر العثماني","تطوير النظام الإداري للكنيسة في العصر العثماني","الخلقيدونية"
"متى الرابع",114,1660,1675,"العصر العثماني","الحفاظ على التقاليد القبطية خلال التحديات العثمانية","الخلقيدونية"
"يوحنا الثامن عشر",115,1770,1796,"العصر العثماني المتأخر","قيادة الكنيسة خلال الحملة الفرنسية على مصر","الخلقيدونية"
"مرقس العاشر",116,1796,1809,"العصر الحديث المبكر","التكيف مع التغيرات السياسية في مصر الحديثة","الخلقيدونية"
"كيرلس السابع",117,1959,1971,"العصر الحديث","إعداد الطريق للنهضة الروحية المعاصرة","الخلقيدونية; البروتستانتية"
"تواضروس الثاني",118,2012,,"العصر المعاصر","قيادة الكنيسة في العصر الرقمي ومواجهة التحديات المعاصرة","الخلقيدونية; البروتستانتية; العلمانية; الإلحاد"
